id,player_id,team,gm,name,last_name,discord_id,status,primary_pos,secondary_pos,hand,con,eye,pwr,spd,mov,cmd,vel,awr,discord_nickname,is_rookie,league,season,suffix,first_name,session_added,s_id
2,11024,CC,true,Ferdinand Fritzwilliam,Fritzwilliam,436929461360001044,GM Only,,,,,,,,,,,,speedytechie,false,RLN,13,,,,R_11024
3,12015,CC,true,Kendrick Lamar,Lamar,896802616439341137,GM Only,,,,,,,,,,,,Disky,false,RLN,13,,,,R_12015
4,13021,CC,false,Addison Clark,Clark,117261616348790786,Active,SS,UTIL,R,3,2,5,2,,,,,sl0thh,false,RLN,13,,,,R_13021
5,12049,CC,false,Ant Man,Man,1357915901592342661,Active,P,,R,,,,,4,4,3,1,lucad70106,false,RLN,13,,,,R_12049
6,13009,CC,false,Benny Schwa,Schwa,318633863008223232,Active,1B,C,R,4,5,2,1,,,,,barelyaudibleben,false,RLN,13,,,,R_13009
7,13022,CC,false,Brooks Grainger,Grainger,1049641255325421618,Retired,CF,,R,4,2,3,3,,,,,donquixote0792,false,RLN,13,,,,R_13022
8,13033,CC,false,Cola Spritz,Spritz,638767694988050432,Active,2B,UTIL,R,3,2,5,2,,,,,coccacola,false,RLN,13,,,,R_13033
9,13001,CC,false,Ezra Wind,Wind,283444405954805760,Active,LF,,L,3,5,1,3,,,,,Father_wind,false,RLN,13,,,,R_13001
10,13019,CC,false,Gracie Mlodzianowski-Cwej,Mlodzianowski-Cwej,813303905827029012,Active,P,,R,,,,,3,5,2,2,middaydreamin,false,RLN,13,,,,R_13019
11,13027,CC,false,Gumwad Birdie,Birdie,143489181769924609,Active,RF,,R,3,4,1,4,,,,,@Justin.tv,false,RLN,13,,,,R_13027
12,13002,CC,false,Henry McCade,McCade,668661171800506369,Active,3B,UTIL,R,3,3,3,3,,,,,Wwhite_wwizard,false,RLN,13,,,,R_13002
13,13014,CC,false,Kenji Matsumoto,Matsumoto,411669805829980161,Active,P,,L,,,,,3,3,4,2,doctorfunk415,false,RLN,13,,,,R_13014
14,13053,CC,false,Lazarus King,King,433780701058564097,Active,SS,UTIL,R,3,3,2,4,,,,,Lizard King,false,RLN,13,,,,R_13053
15,13051,CC,false,Obi Sloth,Sloth,362949116193406976,Active,3B,UTIL,R,3,2,5,2,,,,,slothobi2,false,RLN,13,,,,R_13051
16,13032,CC,false,Orb,Orb,203001281302757386,Active,2B,UTIL,R,1,5,5,1,,,,,orb6873,false,RLN,13,,,,R_13032
17,13026,CC,false,Ron Forman,Forman,296302693360861184,Active,3B,UTIL,R,4,3,4,1,,,,,ronfor1,false,RLN,13,,,,R_13026
